month,wind_mwh,pv_mwh,diesel_mwh,load_mwh
1,44.66285877175723,60.36044574133399,49.07421320919763,151.52428183319998
2,86.11910607103053,33.176341666666985,27.428344448512412,143.02721249919998
3,119.10601971568947,15.489974170659236,37.27271352312526,168.7191749999
4,112.82556956021588,3.5406000000000524,61.63715813359027,174.933953334
5,125.37726845098203,0.1336650000000076,69.01464265324809,191.5582641668
6,124.34373150139079,0.0004199999999999998,65.04592245599139,185.9807500006
7,119.71001537179386,0.03528000000000916,74.81948680622469,192.84027000039998
8,144.18352650327247,1.5066450000000662,42.89292323524901,185.4366299998
9,140.22510611930113,8.01566388888894,30.858233991999686,175.6769899992
10,97.82776694546543,25.112564444478046,47.71152228890774,167.8152400008
11,87.69720237216703,47.486937054222274,23.294064689924134,154.77507
12,52.47846490969446,67.73526541245273,29.510135103299525,145.72156
