sample_role,scenario,probability,loss_kwh
independent_holdout,118,0.00390625,0.0
independent_holdout,119,0.00390625,0.0
independent_holdout,120,0.00390625,0.0
independent_holdout,121,0.00390625,0.0
independent_holdout,122,0.00390625,0.0
independent_holdout,123,0.00390625,0.0
independent_holdout,124,0.00390625,0.0
independent_holdout,125,0.00390625,0.0
independent_holdout,126,0.00390625,0.0
independent_holdout,127,0.00390625,0.0
independent_holdout,128,0.00390625,0.0
independent_holdout,129,0.00390625,0.0
independent_holdout,130,0.00390625,0.0
independent_holdout,131,0.00390625,0.0
independent_holdout,132,0.00390625,0.0
independent_holdout,133,0.00390625,0.0
independent_holdout,134,0.00390625,0.0
independent_holdout,135,0.00390625,0.0
independent_holdout,136,0.00390625,0.0
independent_holdout,137,0.00390625,0.0
independent_holdout,138,0.00390625,0.0
independent_holdout,139,0.00390625,0.0
independent_holdout,140,0.00390625,0.0
independent_holdout,141,0.00390625,0.0
independent_holdout,142,0.00390625,0.0
independent_holdout,143,0.00390625,0.0
independent_holdout,144,0.00390625,0.0
independent_holdout,145,0.00390625,0.0
independent_holdout,146,0.00390625,0.0
independent_holdout,147,0.00390625,0.0
independent_holdout,148,0.00390625,0.0
independent_holdout,149,0.00390625,0.0
independent_holdout,150,0.00390625,0.0
independent_holdout,151,0.00390625,0.0
independent_holdout,152,0.00390625,0.0
independent_holdout,153,0.00390625,0.0
independent_holdout,154,0.00390625,0.0
independent_holdout,155,0.00390625,0.0
independent_holdout,156,0.00390625,0.0
independent_holdout,157,0.00390625,0.0
independent_holdout,158,0.00390625,0.0
independent_holdout,159,0.00390625,0.0
independent_holdout,160,0.00390625,0.0
independent_holdout,161,0.00390625,0.0
independent_holdout,162,0.00390625,0.0
independent_holdout,163,0.00390625,0.0
independent_holdout,164,0.00390625,0.0
independent_holdout,165,0.00390625,0.0
independent_holdout,166,0.00390625,0.0
independent_holdout,167,0.00390625,0.0
independent_holdout,168,0.00390625,0.0
independent_holdout,169,0.00390625,0.0
independent_holdout,170,0.00390625,0.0
independent_holdout,171,0.00390625,0.0
independent_holdout,172,0.00390625,0.0
independent_holdout,173,0.00390625,0.0
independent_holdout,174,0.00390625,0.0
independent_holdout,175,0.00390625,0.0
independent_holdout,176,0.00390625,0.0
independent_holdout,177,0.00390625,0.0
independent_holdout,178,0.00390625,0.0
independent_holdout,179,0.00390625,0.0
independent_holdout,180,0.00390625,0.0
