samples,eens_kwh,cvar_kwh,positive_scenarios
689,2.9730898241735204,59.46179648347036,2
690,2.9687809983413844,59.375619966827635,2
691,2.964484643785175,59.28969287570345,2
692,2.9602007064386644,59.20401412877324,2
693,2.9559291325476993,59.11858265095393,2
694,2.951669868667948,59.03339737335891,2
695,2.9474228616626705,58.94845723325336,2
696,2.9431880587005113,58.86376117401017,2
697,2.9389654072533085,58.77930814506612,2
698,2.9347548550939186,58.69509710187832,2
699,2.9305563502940712,58.61112700588137,2
700,2.9263698412222228,58.5273968244444,2
701,2.9221952765414487,58.44390553082892,2
702,2.918032605207344,58.36065210414683,2
703,2.9138817764659395,58.27763552931874,2
704,2.909742739851641,58.19485479703277,2
705,2.9056154451851857,58.11230890370366,2
706,2.9014998425716083,58.02999685143212,2
707,2.89739588239824,57.94791764796475,2
708,2.893303515332706,57.866070306654066,2
709,2.8892226923209536,57.78445384641902,2
710,2.88515336458529,57.70306729170574,2
711,2.881095483622442,57.62190967244879,2
712,2.877049001201623,57.540980024032415,2
713,2.8730138693626306,57.46027738725256,2
714,2.8689900404139435,57.379800808278816,2
715,2.8649774669308474,57.2995493386169,2
716,2.8609761017535695,57.21952203507134,2
717,2.8569858979854335,57.13971795970862,2
718,2.8530068089910245,57.06013617982044,2
719,2.8490387883943753,56.98077576788746,2
720,2.8450817900771606,56.90163580154316,2
721,2.8411357681769154,56.82271536353826,2
722,2.8372006770852565,56.74401354170508,2
723,2.833276471446135,56.66552942892265,2
724,2.8293631061540823,56.587262123081594,2
725,2.82546053635249,56.50921072704975,2
726,2.821568717431895,56.431374348637846,2
727,2.817687605028275,56.353752100565444,2
728,2.8138171550213675,56.2763431004273,2
729,2.809957323532998,56.19914647065991,2
730,2.806108066925419,56.12216133850833,2
731,2.802269341799666,56.04538683599326,2
732,2.7984411049939286,55.96882209987852,2
733,2.7946233135819316,55.89246627163858,2
734,2.7908159248713296,55.81631849742654,2
735,2.7870188964021163,55.74037792804228,2
736,2.7832321859450486,55.664643718900926,2
737,2.779455751500075,55.58911503000145,2
738,2.775689551294791,55.51379102589577,2
739,2.7719335437828896,55.43867087565774,2
740,2.7681876876426426,55.3637537528528,2
741,2.764451941775377,55.28903883550749,2
742,2.760726265303984,55.214525306079636,2
743,2.7570106175714075,55.140212351428104,2
744,2.7533049581391875,55.0660991627837,2
745,2.7496092467859805,54.992184935719564,2
746,2.7459234435061064,54.91846887012208,2
747,2.7422475085081066,54.844950170162086,2
748,2.7385814022133097,54.771628044266144,2
749,2.734925085254413,54.69850170508821,2
750,2.7312785184740735,54.62557036948142,2
751,2.72764166292351,54.55283325847015,2
752,2.7240144798611112,54.480289597222175,2
753,2.720396930751069,54.40793861502134,2
754,2.71678897726201,54.33577954524016,2
755,2.713190581265637,54.26381162531269,2
756,2.709601704835391,54.19203409670777,2
757,2.70602231024512,54.12044620490236,2
758,2.7024523599677517,54.04904719935499,2
759,2.698891816673986,53.97783633347967,2
760,3.73193932744152,74.63878654883032,3
761,3.727035333581544,74.54070667163082,3
762,3.7221442110965297,74.44288422193053,3
763,3.7172659093781864,74.34531818756366,3
764,3.7124003780831893,74.24800756166373,3
765,3.7075475671314444,74.15095134262882,3
766,3.7027074267043805,74.05414853408755,3
767,3.6978799072432276,73.95759814486449,3
768,3.693064959447338,73.8612991889467,3
769,3.6882625342725035,73.76525068545,3
770,3.6834725829292925,73.66945165858579,3
771,3.678695056881395,73.57390113762781,3
772,3.673929907843985,73.47859815687964,3
773,3.6691770877820904,73.38354175564174,3
774,3.664436548908987,73.28873097817967,3
775,3.6597082436845882,73.1941648736917,3
776,3.6549921248138597,73.09984249627713,3
777,3.6502881452452454,73.00576290490484,3
778,3.645596258169094,72.91192516338181,3
779,3.6409164170161175,72.81832834032228,3
780,3.63624857545584,72.72497150911674,3
781,3.6315926873950772,72.63185374790147,3
782,3.626948706976415,72.53897413952824,3
783,3.6223165885767004,72.44633177153395,3
784,3.6176962868055558,72.35392573611105,3
785,3.6130877565038926,72.26175513007779,3
786,3.608490952742436,72.16981905484865,3
787,3.6039058308202723,72.07811661640538,3
788,3.5993323462633953,71.98664692526785,3
789,3.594770454823265,71.89540909646523,3
790,3.5902201124753867,71.80440224950767,3
791,3.5856812754178957,71.71362550835785,3
792,3.5811539000701473,71.62307800140287,3
793,3.5766379430713178,71.53275886142629,3
794,3.5721333612790382,71.4426672255807,3
795,3.567640111767995,71.35280223535982,3
796,3.5631581518285875,71.2631630365717,3
797,3.558687438965565,71.17374877931124,3
798,3.554227930896686,71.08455861793365,3
799,3.549779585551384,70.9955917110276,3
800,3.5453423610694452,70.90684722138884,3
801,3.5409162157996956,70.81832431599383,3
802,3.5365011082986957,70.73002216597385,3
803,3.532096997329459,70.64193994658912,3
804,3.5277038418601454,70.55407683720284,3
805,3.5233216010628023,70.46643202125598,3
806,3.5189502343121046,70.37900468624203,3
807,3.514589701184084,70.29179402368162,3
808,3.5102399614548965,70.20479922909787,3
809,3.505900975099575,70.11801950199144,3
810,3.501572702290809,70.03145404581612,3
811,3.497255103397727,69.94510206795448,3
812,3.4929481389846746,69.85896277969344,3
813,3.48865176981003,69.77303539620054,3
814,3.484365956825007,69.68731913650008,3
815,3.480090661172461,69.60181322344916,3
816,3.4758258441857306,69.51651688371454,3
817,3.471571467387461,69.43142934774917,3
818,3.4673274924884536,69.346549849769,3
819,3.4630938813865155,69.26187762773024,3
820,3.458870596165313,69.17741192330618,3
821,3.454657599093248,69.09315198186489,3
822,3.4504548526223306,69.00909705244655,3
823,3.446262319387066,68.92524638774125,3
824,3.4420799622033442,68.84159924406683,3
825,3.4379077440673393,68.75815488134673,3
826,3.4337456281544245,68.67491256308843,3
827,3.4295935778180846,68.59187155636162,3
828,3.4254515565888353,68.50903113177664,3
829,3.421319528173168,68.4263905634633,3
830,3.4171974564524765,68.34394912904946,3
831,3.4130853054820154,68.26170610964024,3
832,3.4089830394898515,68.17966078979697,3
833,3.4048906228758176,68.09781245751628,3
834,3.4008080202104987,68.01616040420991,3
835,3.396735196234198,67.9347039246839,3
836,3.3926721158559277,67.85344231711849,3
837,3.3886187441523967,67.77237488304787,3
838,3.3845750463670115,67.69150092734017,3
839,3.3805409879088875,67.61081975817768,3
840,3.376516534351853,67.53033068703701,3
841,3.3725016514334794,67.45003302866952,3
842,3.3684963050541037,67.369926101082,3
