sample_role,scenario,probability,loss_kwh
independent_holdout,72,0.00390625,0.0
independent_holdout,73,0.00390625,0.0
independent_holdout,74,0.00390625,0.0
independent_holdout,75,0.00390625,0.0
independent_holdout,76,0.00390625,0.0
independent_holdout,77,0.00390625,0.0
independent_holdout,78,0.00390625,0.0
independent_holdout,79,0.00390625,0.0
independent_holdout,80,0.00390625,0.0
independent_holdout,81,0.00390625,0.0
independent_holdout,82,0.00390625,0.0
independent_holdout,83,0.00390625,0.0
independent_holdout,84,0.00390625,0.0
independent_holdout,85,0.00390625,0.0
independent_holdout,86,0.00390625,0.0
independent_holdout,87,0.00390625,0.0
independent_holdout,88,0.00390625,0.0
independent_holdout,89,0.00390625,0.0
independent_holdout,90,0.00390625,0.0
independent_holdout,91,0.00390625,0.0
independent_holdout,92,0.00390625,0.0
independent_holdout,93,0.00390625,0.0
independent_holdout,94,0.00390625,0.0
independent_holdout,95,0.00390625,0.0
independent_holdout,96,0.00390625,0.0
independent_holdout,97,0.00390625,0.0
independent_holdout,98,0.00390625,0.0
independent_holdout,99,0.00390625,0.0
independent_holdout,100,0.00390625,0.0
independent_holdout,101,0.00390625,0.0
independent_holdout,102,0.00390625,0.0
independent_holdout,103,0.00390625,0.0
independent_holdout,104,0.00390625,0.0
independent_holdout,105,0.00390625,0.0
independent_holdout,106,0.00390625,0.0
independent_holdout,107,0.00390625,0.0
independent_holdout,108,0.00390625,0.0
independent_holdout,109,0.00390625,0.0
independent_holdout,110,0.00390625,0.0
independent_holdout,111,0.00390625,0.0
independent_holdout,112,0.00390625,0.0
independent_holdout,113,0.00390625,0.0
independent_holdout,114,0.00390625,0.0
independent_holdout,115,0.00390625,0.0
independent_holdout,116,0.00390625,0.0
independent_holdout,117,0.00390625,0.0
independent_holdout,118,0.00390625,0.0
independent_holdout,119,0.00390625,0.0
independent_holdout,120,0.00390625,0.0
independent_holdout,121,0.00390625,0.0
independent_holdout,122,0.00390625,0.0
independent_holdout,123,0.00390625,0.0
independent_holdout,124,0.00390625,0.0
independent_holdout,125,0.00390625,0.0
independent_holdout,126,0.00390625,0.0
independent_holdout,127,0.00390625,0.0
independent_holdout,128,0.00390625,0.0
independent_holdout,129,0.00390625,0.0
independent_holdout,130,0.00390625,0.0
independent_holdout,131,0.00390625,0.0
independent_holdout,132,0.00390625,0.0
independent_holdout,133,0.00390625,0.0
independent_holdout,134,0.00390625,0.0
independent_holdout,135,0.00390625,0.0
independent_holdout,136,0.00390625,0.0
independent_holdout,137,0.00390625,0.0
independent_holdout,138,0.00390625,0.0
independent_holdout,139,0.00390625,0.0
independent_holdout,140,0.00390625,0.0
independent_holdout,141,0.00390625,0.0
independent_holdout,142,0.00390625,0.0
independent_holdout,143,0.00390625,0.0
independent_holdout,144,0.00390625,0.0
independent_holdout,145,0.00390625,0.0
independent_holdout,146,0.00390625,0.0
independent_holdout,147,0.00390625,0.0
independent_holdout,148,0.00390625,0.0
independent_holdout,149,0.00390625,0.0
independent_holdout,150,0.00390625,0.0
independent_holdout,151,0.00390625,0.0
independent_holdout,152,0.00390625,0.0
independent_holdout,153,0.00390625,0.0
independent_holdout,154,0.00390625,0.0
independent_holdout,155,0.00390625,0.0
independent_holdout,156,0.00390625,0.0
